original_price,quantity,selling_price,barcode,created_date,floor_id,id,store_id,updated_date,product_name,sku
2245.0,100,2745.0,28400000222.0,2024-10-10 10:21:41,6,15,25,,체다딥소스255.15g,
621.875,100,1121.875,28400000246.0,2024-10-10 10:21:41,6,15,25,,할라피뇨소스255.15g,
1160.0,100,1660.0,28400017459.0,2024-10-10 10:21:41,6,15,25,,또스티토스 또띨라칩,
4480.0,100,4980.0,28400017480.0,2024-10-10 10:21:41,6,15,25,,크리스피또띨라칩283g,
1222.2222222222224,100,1722.2222222222224,28400055987.0,2024-10-10 10:21:41,6,15,25,,미디움살사439.42g,
1658.75,100,2158.75,31142000696.0,2024-10-10 10:21:41,6,15,25,,모짜렐라슬라이스453g,
264.77678571428567,100,764.7767857142857,31142001266.0,2024-10-10 10:21:41,6,15,25,,BelGioioso 부라타,
3355.555555555555,100,3855.555555555555,31142004809.0,2024-10-10 10:21:41,6,15,25,,모짜렐라 펄 226g,
1032.5,100,1532.5,31200016294.0,2024-10-10 10:21:41,6,15,25,,오션 크랜베리 1.89L,
1032.5,100,1532.5,31200016300.0,2024-10-10 10:21:41,6,15,25,,오션 루비레드 1.89L,
14480.0,100,14980.0,34000070541.0,2024-10-10 10:21:41,6,15,25,,허쉬밀크초콜릿스낵,
100.0,100,337.5,34000190454.0,2024-10-10 10:21:41,6,15,25,,롯데허쉬밀크자이언트,
100.0,100,387.85714285714283,34000191413.0,2024-10-10 10:21:41,6,15,25,,허쉬아몬드자이언트바,
2140.0,100,2640.0,34000196203.0,2024-10-10 10:21:41,6,15,25,,허쉬자이언트바쿠키앤,
100.0,100,256.0,34000239344.0,2024-10-10 10:21:41,6,15,25,,허쉬쿠키앤크림40G,
1150.0,100,1650.0,34856064084.0,2024-10-10 10:21:41,6,15,25,,웰치 후르트스낵 mix,
4480.0,100,4980.0,36200004456.0,2024-10-10 10:21:41,6,15,25,,라구청키머쉬룸680g,
7480.0,100,7980.0,37600257589.0,2024-10-10 10:21:41,6,15,25,,스키피 청크 땅콩잼,
2995.0,100,3495.0,37600257640.0,2024-10-10 10:21:41,6,15,25,,스키피 크리미 땅콩잼,
245.0,100,745.0,40000017318.0,2024-10-10 10:21:41,6,15,25,,엠앤엠즈밀크150G,
207.5,100,707.5,40000017325.0,2024-10-10 10:21:41,6,15,25,,엠앤엠즈피넛150G,
740.0,100,1240.0,41186001559.0,2024-10-10 10:21:41,6,15,25,,앤디스 민트파르페 초콜릿,
100.0,100,114.0,41244001057.0,2024-10-10 10:21:41,6,15,25,,골드매달애플 스파클,
625.4545454545455,100,1125.4545454545455,41716232217.0,2024-10-10 10:21:41,6,15,25,,(G)saputo 스트링치즈,
824.1666666666667,100,1324.1666666666667,41900103071.0,2024-10-10 10:21:41,6,15,25,,넬리스위트피클홀710m,
2162.222222222222,100,2662.222222222222,44700019887.0,2024-10-10 10:21:41,6,15,25,,오스카마이어베이컨,
15480.0,100,15980.0,44700019917.0,2024-10-10 10:21:41,6,15,25,,오스카마이어 저염 베이컨,
3610.0,100,4110.0,48176011017.0,2024-10-10 10:21:41,6,15,25,,만토바 올리브오일,
4980.0,100,5480.0,48176840907.0,2024-10-10 10:21:41,6,15,25,,만토바선드라이토마토,
9480.0,100,9980.0,50561846326.0,2024-10-10 10:21:41,6,15,25,,삼게 피쉬소스 682ml,
4990.0,100,5490.0,51500017470.0,2024-10-10 10:21:41,6,15,25,,스머커스 구버 포도 땅콩버터,
997.5,100,1497.5,51500255162.0,2024-10-10 10:21:41,6,15,25,,지프 크리미 땅콩버터,
5490.0,100,5990.0,51500255377.0,2024-10-10 10:21:41,6,15,25,,지프 크런치 땅콩버터 (454G),
5380.0,100,5880.0,51934700290.0,2024-10-10 10:21:41,6,15,25,,Pacific 페퍼잭 치즈,
981.25,100,1481.25,51934720472.0,2024-10-10 10:21:41,6,15,25,,뮌스터 슬라이스 치즈,
1115.5555555555557,100,1615.5555555555557,51934721226.0,2024-10-10 10:21:41,6,15,25,,퍼시픽 모짜렐라 227g,
990.0,100,1490.0,52600112751.0,2024-10-10 10:21:41,6,15,25,,마시멜로우 플러프잼2,
100.0,100,179.0,54300091527.0,2024-10-10 10:21:41,6,15,25,,로투스 로키 마쉬멜로우,
411.66666666666663,100,911.6666666666666,54300091541.0,2024-10-10 10:21:41,6,15,25,,과일향 머쉬멜로우,
250.0,100,750.0,54881000024.0,2024-10-10 10:21:41,6,15,25,,아마드 페퍼민트레몬,
1000.0,100,1500.0,54881009010.0,2024-10-10 10:21:41,6,15,25,,아마드 다즐링 캔100g,
870.0,100,1370.0,56183003512.0,2024-10-10 10:21:41,6,15,25,,LB 메이플시럽189ml(,
13480.0,100,13980.0,56183505009.0,2024-10-10 10:21:41,6,15,25,,LB 메이플시럽500ml(P,
6480.0,100,6980.0,69535667058.0,2024-10-10 10:21:41,6,15,25,,노던골드 퀵 오트밀 5,
1995.0,100,2495.0,70177077563.0,2024-10-10 10:21:41,6,15,25,,트와이닝 얼그레이,
2500.0,100,3000.0,70177077693.0,2024-10-10 10:21:41,6,15,25,,트와이닝 잉글리쉬블,
7480.0,100,7980.0,70177174729.0,2024-10-10 10:21:41,6,15,25,,클래식 차 컬렉션,
9490.0,100,9990.0,70221007164.0,2024-10-10 10:21:41,6,15,25,,필라델피아 치즈케익,
100.0,100,238.7603305785124,70851080513.0,2024-10-10 10:21:41,6,15,25,,아미고나쵸칩454G,
100.0,100,319.4791666666667,71179340419.0,2024-10-10 10:21:41,6,15,25,,(G)해쉬브라운 1280g,
690.0,100,1190.0,71570001858.0,2024-10-10 10:21:41,6,15,25,,젤리벨리후르티향믹스,
3980.0,100,4480.0,71720079010.0,2024-10-10 10:21:41,6,15,25,,투시팝 미니어쳐,
148.73015873015868,100,648.7301587301587,72810652465.0,2024-10-10 10:21:41,6,15,25,,리고 땅콩버터 청크,
1426.6666666666667,100,1926.6666666666667,73575647062.0,2024-10-10 10:21:41,6,15,25,,미쯔칸 2배 농축쯔유 (500ML),
2680.0,100,3180.0,74680001169.0,2024-10-10 10:21:41,6,15,25,,Woeber's 옐로우머스,
